Slot,Name,Score
Save1,MIL,70
Save2,TES,5
Save3,BRU,-95
Save4,Empty,-inf
Save5,Empty,-inf
Save6,Empty,-inf
Save7,Empty,-inf
Save8,Empty,-inf
Save9,Empty,-inf
Save10,Empty,-inf
